FAQ questions,FAQ answers,modifiert question,type change
Warum wurde ich von Rufnummer 021117607096 oder 021117607097 angerufen?,"Wir haben versucht, Sie telefonisch zu kontaktieren. Dies hat in der Regel einen der folgenden Gründe:   Es gab einen Produktrückruf zu einem von Ihnen oder einem Ihrer Einkaufsberechtigten erworbenen Artikel.  Die Werbung (oder Newsletter) konnte nicht zugestellt werden und wir wollten Ihre neue Adresse in Erfahrung bringen, um Ihnen unsere gewohnten Angebote zukommen zulassen.  Wir wollten Sie nach Ihrem letzten Einkauf befragen, ob alles in Ordnung war.  Wir hatten ein attraktives Angebot für Sie, das wir Ihnen vorstellen wollten.   Wir versuchen Sie in der Regel mehrfach zu erreichen. Bitte haben Sie ein wenig Geduld, bis einer unserer Mitarbeiter sich erneut bei Ihnen meldet. Wenn Sie bereits jetzt eine Frage haben, können Sie sich jederzeit melden: zum Kontaktformular.  Sollten Sie nicht mehr angerufen oder kontaktiert werden wollen, können Sie uns das gerne im Gespräch mitteilen oder über unser Kontaktformular. Wir kommen Ihrer Bitte selbstverständlich nach. Bitte beachten Sie, dass wir Sie bei einem Produktrückruf dennoch telefonisch kontaktieren müssen, da wir hier unserer gesetzlichen Informationspflicht nachkommen müssen.","Was ist passiert, als ich heute Morgen mein Handy auf den Tisch gelegt habe und dann von Rufnummer 021117607096 oder 021117607097 angerufen wurde?",scenario
Warum wurde ich von Rufnummer 021117607096 oder 021117607097 angerufen?,"Wir haben versucht, Sie telefonisch zu kontaktieren. Dies hat in der Regel einen der folgenden Gründe:   Es gab einen Produktrückruf zu einem von Ihnen oder einem Ihrer Einkaufsberechtigten erworbenen Artikel.  Die Werbung (oder Newsletter) konnte nicht zugestellt werden und wir wollten Ihre neue Adresse in Erfahrung bringen, um Ihnen unsere gewohnten Angebote zukommen zulassen.  Wir wollten Sie nach Ihrem letzten Einkauf befragen, ob alles in Ordnung war.  Wir hatten ein attraktives Angebot für Sie, das wir Ihnen vorstellen wollten.   Wir versuchen Sie in der Regel mehrfach zu erreichen. Bitte haben Sie ein wenig Geduld, bis einer unserer Mitarbeiter sich erneut bei Ihnen meldet. Wenn Sie bereits jetzt eine Frage haben, können Sie sich jederzeit melden: zum Kontaktformular.  Sollten Sie nicht mehr angerufen oder kontaktiert werden wollen, können Sie uns das gerne im Gespräch mitteilen oder über unser Kontaktformular. Wir kommen Ihrer Bitte selbstverständlich nach. Bitte beachten Sie, dass wir Sie bei einem Produktrückruf dennoch telefonisch kontaktieren müssen, da wir hier unserer gesetzlichen Informationspflicht nachkommen müssen.","Ich war in der Küche, als mein Handy plötzlich von Rufnummer 021117607096 oder 021117607097 klingelte, aber ich hatte niemanden angerufen.",scenario
Wie viele Begleitpersonen kann ich zum Einkauf mitnehmen?,"Selbstverständlich kannst Du mit Deiner Kundenkarte eine weitere volljährige Begleitperson zum Einkauf mitnehmen. Kinder zählen nicht als Begleitpersonen und können zusätzlich mitgenommen werden. Bitte hab Verständnis dafür, dass Kinderwagen aus Sicherheitsgründen in den Märkten nicht gestattet sind.     Solltest Dich mehr als eine erwachsene Person zum Einkauf begleiten, so ist dies im Ausnahmefall nach Rücksprache mit dem zuständigen Markt möglich. Bitte teile uns dann Deine Kundennummer, den betreffenden Markt, das Einkaufsdatum sowie die Anzahl der Begleitpersonen mit. Melde Dich einfach bei uns: www.metro.de/kontakt     Außerdem ist es möglich, eine Person zum Einkauf zu bevollmächtigen. Dazu benötigt diese Deine Kundenkarte, eine Vollmacht und den eigenen Personalausweis. Einen Vordruck findest Du auf unserer Homepage unter https://www.metro.de/service/vollmacht.","Ich habe einen Rollstuhl und möchte wissen, wie viele Personen ich zum Einkaufen mitnehmen kann, bevor der Rollstuhl zu groß wird.",scenario
Wie viele Begleitpersonen kann ich zum Einkauf mitnehmen?,"Selbstverständlich kannst Du mit Deiner Kundenkarte eine weitere volljährige Begleitperson zum Einkauf mitnehmen. Kinder zählen nicht als Begleitpersonen und können zusätzlich mitgenommen werden. Bitte hab Verständnis dafür, dass Kinderwagen aus Sicherheitsgründen in den Märkten nicht gestattet sind.     Solltest Dich mehr als eine erwachsene Person zum Einkauf begleiten, so ist dies im Ausnahmefall nach Rücksprache mit dem zuständigen Markt möglich. Bitte teile uns dann Deine Kundennummer, den betreffenden Markt, das Einkaufsdatum sowie die Anzahl der Begleitpersonen mit. Melde Dich einfach bei uns: www.metro.de/kontakt     Außerdem ist es möglich, eine Person zum Einkauf zu bevollmächtigen. Dazu benötigt diese Deine Kundenkarte, eine Vollmacht und den eigenen Personalausweis. Einen Vordruck findest Du auf unserer Homepage unter https://www.metro.de/service/vollmacht.","Mein Freund und ich möchten gemeinsam einkaufen gehen und wissen, wie viele Kinder wir mitnehmen können, bevor es zu voll im Wagen wird.",scenario
Kann ich als Privatperson bei METRO einkaufen?,"Bei METRO Deutschland handelt es sich um einen Großhandel für den gewerblichen Bedarf. Hier haben wir gesetzliche Vorgaben und Richtlinien einzuhalten. Bitte hab Verständnis, dass nur Kundinnen und Kunden, welche Umsatzsteuer bzw. Gewerbesteuer abführen, in unseren Märkten einkaufen dürfen. Dazu zählen Gewerbetreibende, freiberuflich Tätige, Wiederverkäuferinnen und Wiederverkäufer sowie Großverbraucher. Ebenfalls berechtigt sind Kindergärten, Schulen, eingetragene Vereine und Institutionen.     In unserem Onlineshop „METRO Marktplatz“ (https://www.metro.de/marktplatz) hast Du jedoch bereits heute die Möglichkeit, auch als Privatperson, Einkäufe tätigen.     Wir bitten um Verständnis, dass wir uns als Großhandel an die gesetzlichen Bestimmungen halten müssen und hoffe, dass im derzeitigen Online-Shop einige interessante Artikel für Dich dabei sind.","'Ich brauche dringend eine Schüssel für mein Frühstück, kann ich also bei METRO einkaufen gehen, ohne einen Geschäftskunden zu sein?'",scenario
Kann ich als Privatperson bei METRO einkaufen?,"Bei METRO Deutschland handelt es sich um einen Großhandel für den gewerblichen Bedarf. Hier haben wir gesetzliche Vorgaben und Richtlinien einzuhalten. Bitte hab Verständnis, dass nur Kundinnen und Kunden, welche Umsatzsteuer bzw. Gewerbesteuer abführen, in unseren Märkten einkaufen dürfen. Dazu zählen Gewerbetreibende, freiberuflich Tätige, Wiederverkäuferinnen und Wiederverkäufer sowie Großverbraucher. Ebenfalls berechtigt sind Kindergärten, Schulen, eingetragene Vereine und Institutionen.     In unserem Onlineshop „METRO Marktplatz“ (https://www.metro.de/marktplatz) hast Du jedoch bereits heute die Möglichkeit, auch als Privatperson, Einkäufe tätigen.     Wir bitten um Verständnis, dass wir uns als Großhandel an die gesetzlichen Bestimmungen halten müssen und hoffe, dass im derzeitigen Online-Shop einige interessante Artikel für Dich dabei sind.","'Ich habe ein Picknick geplant und benötige einige Zutaten, kann ich bei METRO einkaufen gehen, auch wenn ich kein Geschäftskunde bin?'",scenario
Welche Services gibt es für die Gastronomie?,Folgende Gastro-Services kannst Du bei METRO erwarten:    Expertenberatung mit unserer Gastro-Hotline  Passgenauer Versicherungsschutz durch den GastroSchutz  Immer auf dem neusten Stand mit unseren Gastro-Impulsen  Exklusive Vorteilspreise für Profiküchengeräte mit Pentagast  Optimales Hygienekonzept mit Trotec Luftreinigern   Erleichterung durch das Ipad-Kassensystem   Menükartenvorlagen für Ihre Gäste   Ausführliche Informationen findest Du hier.,"""Ich plane eine Hochzeit im großen Saal meines Restaurants und benötige Informationen über die möglichen Services, die wir in Anspruch nehmen können.""",scenario
Welche Services gibt es für die Gastronomie?,Folgende Gastro-Services kannst Du bei METRO erwarten:    Expertenberatung mit unserer Gastro-Hotline  Passgenauer Versicherungsschutz durch den GastroSchutz  Immer auf dem neusten Stand mit unseren Gastro-Impulsen  Exklusive Vorteilspreise für Profiküchengeräte mit Pentagast  Optimales Hygienekonzept mit Trotec Luftreinigern   Erleichterung durch das Ipad-Kassensystem   Menükartenvorlagen für Ihre Gäste   Ausführliche Informationen findest Du hier.,"""Unser Restaurant ist neu eröffnet und wir möchten wissen, welche Services wir anbieten können, um unsere Kunden zu überzeugen.""",scenario
Ich habe kein Gewerbe – kann ich trotzdem bei METRO einkaufen?,"Bei METRO Deutschland handelt es sich um einen Großhandel für den gewerblichen Bedarf. Hier haben wir gesetzliche Vorgaben und Richtlinien einzuhalten.   Wir bitten um Verständnis, dass Gewerbetreibende in unseren Märkten einkaufen dürfen. Dazu zählen Gewerbetreibende, freiberuflich Tätige, Wiederverkäuferinnen und Wiederverkäufer sowie Großverbraucher. Ebenfalls berechtigt sind Kindergärten, Schulen, eingetragene Vereine und Institutionen.     In unserem Onlineshop „METRO Marktplatz“ hast Du jedoch bereits heute die Möglichkeit, auch als Privatperson, Einkäufe zu tätigen. Die bestellten Artikel werden bequem per Paket zu Dir nach Hause geliefert.  Entdecke unser digitales Angebot hier: Zum Marktplatz",'Ich bin Student - kann ich bei METRO ohne Gewerbe einkehlen?',scenario
Ich habe kein Gewerbe – kann ich trotzdem bei METRO einkaufen?,"Bei METRO Deutschland handelt es sich um einen Großhandel für den gewerblichen Bedarf. Hier haben wir gesetzliche Vorgaben und Richtlinien einzuhalten.   Wir bitten um Verständnis, dass Gewerbetreibende in unseren Märkten einkaufen dürfen. Dazu zählen Gewerbetreibende, freiberuflich Tätige, Wiederverkäuferinnen und Wiederverkäufer sowie Großverbraucher. Ebenfalls berechtigt sind Kindergärten, Schulen, eingetragene Vereine und Institutionen.     In unserem Onlineshop „METRO Marktplatz“ hast Du jedoch bereits heute die Möglichkeit, auch als Privatperson, Einkäufe zu tätigen. Die bestellten Artikel werden bequem per Paket zu Dir nach Hause geliefert.  Entdecke unser digitales Angebot hier: Zum Marktplatz","'Ich habe ein Privatpferd – muss ich bei METRO ein Gewerbe anmelden, um einkaufen zu können?'",scenario
Wie kann ich DISH abonnieren?,"Melde dich bei deinem Kundenmanagement oder fülle das DISH-Kontaktformular aus, damit du direkt kontaktiert wirst: https://www.dish.co/DE/de/reservierungssystem-gastronomie/#SupportRes",Ich habe gerade einen neuen Fernseher gekauft und möchte DISH abonnieren. Wie kann ich das machen?,scenario
Wie kann ich DISH abonnieren?,"Melde dich bei deinem Kundenmanagement oder fülle das DISH-Kontaktformular aus, damit du direkt kontaktiert wirst: https://www.dish.co/DE/de/reservierungssystem-gastronomie/#SupportRes","Ich bin neu in der Stadt und möchte DISH als mein Fernsehnetzwerk wählen. Wie fange ich an, mich anzumelden?",scenario
Kann ich online einkaufen?,"Ja, im METRO Onlineshop können sowohl Geschäftskunden, wie auch Privatkunden einkaufen.","Ich bin mitten in der Woche und benötige dringend ein paar Lebensmittel, aber ich bin zu beschäftigt, um zum Supermarkt zu gehen. Kann ich online einkaufen?",scenario
Kann ich online einkaufen?,"Ja, im METRO Onlineshop können sowohl Geschäftskunden, wie auch Privatkunden einkaufen.","Ich suche nach einem besonderen Geschenk für meinen Freund, aber ich habe keine Zeit, um die Stadt zu erkunden. Kann ich online einkaufen?",scenario
Wie kann ich meine Kontaktdaten und Newsletter-Einstellungen ändern?,"Dafür brauchst Du ein digitales Profil.   Falls Du noch keines hast, kannst Du Dich hier registrieren und Deine METRO Karte hinzufügen.     Wenn Du bereits ein Profil hast, kannst Du Deine Daten und Marketing-Einstellungen hier bearbeiten.     Bei Fragen hilft Dir unser Support-Team gerne weiter: Support kontaktieren",Ich möchte meine E-Mail-Adresse in meiner Profilinformation ändern und mich von deinem Newsletter abmelden.,scenario
Wie kann ich meine Kontaktdaten und Newsletter-Einstellungen ändern?,"Dafür brauchst Du ein digitales Profil.   Falls Du noch keines hast, kannst Du Dich hier registrieren und Deine METRO Karte hinzufügen.     Wenn Du bereits ein Profil hast, kannst Du Deine Daten und Marketing-Einstellungen hier bearbeiten.     Bei Fragen hilft Dir unser Support-Team gerne weiter: Support kontaktieren","Kann ich meine Kontaktdaten in der Anmeldemaske ändern, wenn ich mich neu anmelden möchte?",scenario
"Was passiert, wenn ich bei Pentagast kein Gerät finde?","Der Subventionsvertrag ist nur gültig, wenn Du Geräte über einen Pentagast-Partner beziehst. Falls Du kein passendes Gerät findest, wird der Vertrag hinfällig. Ein Kauf außerhalb des Pentagast-Sortiments ist leider nicht möglich.","'Was passiert, wenn ich bei Pentagast kein Gerät finde, das ich für meine Haushaltsreinigung benötige?'",scenario
"Was passiert, wenn ich bei Pentagast kein Gerät finde?","Der Subventionsvertrag ist nur gültig, wenn Du Geräte über einen Pentagast-Partner beziehst. Falls Du kein passendes Gerät findest, wird der Vertrag hinfällig. Ein Kauf außerhalb des Pentagast-Sortiments ist leider nicht möglich.","'Was passiert, wenn ich bei Pentagast kein Ersatzteil für mein defektes Gerät finde?'",scenario
Wie kann ich bei METRO bezahlen?,Folgende Bezahlmöglichkeiten hast Du bei METRO:   Barzahlung  Bank-/Kreditkarte  SEPA Lastschriftverfahren  Tax Free Shopping  METRO top & METRO top duo  METRO cash   Ausführliche Informationen findest Du hier.,"'Wie kann ich bei METRO bezahlen, wenn ich kein Bargeld mehr habe?'",scenario
Wie kann ich bei METRO bezahlen?,Folgende Bezahlmöglichkeiten hast Du bei METRO:   Barzahlung  Bank-/Kreditkarte  SEPA Lastschriftverfahren  Tax Free Shopping  METRO top & METRO top duo  METRO cash   Ausführliche Informationen findest Du hier.,"Ich stehe vor der Kasse in METRO und habe vergessen, Bargeld mitzunehmen.",scenario
Wie kann ich die METRO App herunterladen und installieren?,"Die App ist für Android und iOS entwickelt und im jeweiligen Store unter dem Namen „METRO Companion“ zu finden. Im Prinzip kann sich jeder die App installieren. Viele Funktionen wie z.B. die digitale Kundenkarte sind jedoch für METRO Kundinnen und Kunden vorbehalten. Um die METRO App im vollen Funktionsumfang nutzen zu können, musst Du mit einem myMETRO Konto eingeloggt sein oder Dich über die App neu registrieren.","'Wie kann ich die METRO App herunterladen und installieren, wenn ich mein neues Smartphone gerade gekauft habe und noch keine Apps heruntergeladen habe?'",scenario
Wie kann ich die METRO App herunterladen und installieren?,"Die App ist für Android und iOS entwickelt und im jeweiligen Store unter dem Namen „METRO Companion“ zu finden. Im Prinzip kann sich jeder die App installieren. Viele Funktionen wie z.B. die digitale Kundenkarte sind jedoch für METRO Kundinnen und Kunden vorbehalten. Um die METRO App im vollen Funktionsumfang nutzen zu können, musst Du mit einem myMETRO Konto eingeloggt sein oder Dich über die App neu registrieren.","'Wie kann ich die METRO App auf meinem alten Tablet installieren, obwohl ich nicht sicher bin, ob ich noch genug Speicherplatz habe?'",scenario
Was kostet die Lieferung?,"Wenn Du einen Liefervertrag mit METRO hast, sind die Preise auf www.metro.de bereits inklusive Lieferung. Voraussetzung ist ein Mindestbestellwert von 700 € (netto).   Für Bestellungen unter diesem Betrag können zusätzliche Gebühren anfallen.     Für Bestellungen, die im Onlineshop ""METRO Marktplatz"" getätigt wurden:  Wenn Du über den METRO Onlineshop bestellst, können je nach Händler oder Produkt unterschiedliche Versandkosten gelten. Die genauen Informationen findest Du direkt auf der jeweiligen Produktseite. Die Versandkosten werden ausschließlich vom jeweiligen Verkäufer festgelegt.","Ich habe mein neues Sofa online bestellt und möchte wissen, wie viel ich für die Lieferung bezahlen muss.",scenario
Was kostet die Lieferung?,"Wenn Du einen Liefervertrag mit METRO hast, sind die Preise auf www.metro.de bereits inklusive Lieferung. Voraussetzung ist ein Mindestbestellwert von 700 € (netto).   Für Bestellungen unter diesem Betrag können zusätzliche Gebühren anfallen.     Für Bestellungen, die im Onlineshop ""METRO Marktplatz"" getätigt wurden:  Wenn Du über den METRO Onlineshop bestellst, können je nach Händler oder Produkt unterschiedliche Versandkosten gelten. Die genauen Informationen findest Du direkt auf der jeweiligen Produktseite. Die Versandkosten werden ausschließlich vom jeweiligen Verkäufer festgelegt.","Ich habe gerade mein Einkaufswagen voller Kleidung in einem Online-Shop befüllt und will wissen, ob ich zusätzlich für die Lieferung bezahlen muss.",scenario
